zip_code,drive_minutes
92113,6.7
91950,9.7
92102,10.0
92118,13.3
92101,10.5
92104,12.0
92139,16.9
92105,12.0
92114,14.9
91910,18.2
92103,13.2
92116,14.0
91902,19.7
91911,18.2
91945,16.5
92115,16.6
92108,16.8
92106,19.6
91932,20.0
92110,15.7
92107,20.2
91977,23.0
92120,19.6
92123,19.2
91913,23.8
91942,20.2
92111,19.9
91941,19.7
92173,18.9
92109,19.4
91914,25.9
92154,22.7
92124,22.0
92119,24.5
91915,28.3
92117,22.8
91978,26.3
92020,22.6
92122,41.7
92071,27.0
92037,23.0
92131,28.2
92121,26.6
92126,27.8
92019,32.2
92021,32.8
92130,32.6
91935,39.1
92129,30.5
92014,30.5
92040,35.6
92064,39.1
92128,35.5
92075,34.9
92127,36.0
92067,42.1
92007,37.7
91901,62.7
92024,42.9
92029,50.0
92025,42.6
92009,50.4
