zip_code,lat,lon,distance_mi,population
92113,32.69601745,-117.1182265,1.391469229,48215
91950,32.67004537,-117.0941924,1.915549847,59891
92102,32.71622123,-117.117058,2.755520061,38901
92118,32.6711504,-117.1770537,3.006075723,18929
92101,32.72399153,-117.1708332,4.164526601,51805
92104,32.74162861,-117.128178,4.455825243,47410
92139,32.67987501,-117.0489002,4.504612,34703
92105,32.73782591,-117.0926686,4.621420715,71411
92114,32.70775658,-117.0550946,4.650655156,65745
91910,32.6382661,-117.0571061,4.821109522,77123
92103,32.74741238,-117.1668837,5.406589865,34836
92116,32.76496864,-117.1231511,6.062433914,31843
91902,32.6670195,-117.0182571,6.325601348,17698
91911,32.60735368,-117.0540592,6.367341677,85542
91945,32.73317664,-117.034164,6.611091044,27745
92115,32.76140548,-117.0717941,6.619126853,66264
92108,32.77395771,-117.1425277,6.74797568,26790
92106,32.71027507,-117.2372563,6.886493704,21651
91932,32.57415111,-117.1207805,7.075917665,25741
92110,32.76510205,-117.1998763,7.443716534,30902
92107,32.73906795,-117.2452901,8.169402235,28827
91977,32.72594344,-116.9965627,8.272157648,61064
92120,32.7947324,-117.0713029,8.713410793,31915
92123,32.80677727,-117.1349142,8.952454655,33041
91913,32.62001133,-116.9870512,9.007707301,57721
91942,32.77749111,-117.0216871,9.21600974,41424
92111,32.80647889,-117.1688637,9.260587717,45249
91941,32.75987386,-116.9934449,9.612225658,33218
92173,32.55400169,-117.0423808,9.764861685,27585
92109,32.78623967,-117.2342727,9.823023696,44820
91914,32.66543185,-116.9523465,10.16693323,16877
92154,32.56760554,-117.003002,10.39965426,80445
92124,32.82660535,-117.0859705,10.56306985,30474
92119,32.81006228,-117.0327861,10.6545336,24456
91915,32.62237017,-116.9495798,10.96254209,35322
92117,32.8245674,-117.199521,11.0290556,52275
91978,32.72417308,-116.9423726,11.1974211,10014
92020,32.7955104,-116.9697212,12.23501901,57842
92122,32.85923389,-117.1700696,12.80789984,45411
92071,32.85128031,-116.9914636,14.33632924,59590
92037,32.85654299,-117.252011,14.38055311,40717
92131,32.89430743,-117.0800765,15.19912438,35503
92121,32.89915497,-117.2022744,15.92821054,3974
92126,32.90840677,-117.1412931,15.95692301,76059
92019,32.77911121,-116.878892,16.03814522,45351
92021,32.83552592,-116.8707152,18.45888777,70501
92130,32.94758971,-117.2073894,19.22320958,60768
91935,32.70880386,-116.7904873,19.70148662,9114
92129,32.96487026,-117.1259652,19.81854526,52965
92014,32.96647062,-117.2490086,21.178151,13105
92040,32.90753035,-116.8848172,21.20150142,46216
92064,32.98404894,-117.0193588,22.03269463,48683
92128,32.99948636,-117.071756,22.4251285,48992
92075,32.99725785,-117.2595547,23.38025698,11944
92127,33.01979308,-117.1238663,23.59964992,50555
92067,33.02139744,-117.1938305,24.03663472,7938
92007,33.02175405,-117.2741878,25.25481218,11100
91901,32.80635087,-116.7121604,25.72635776,18197
92024,33.05620735,-117.2584436,27.22144216,50617
92029,33.08509666,-117.1299476,28.09599915,20726
92025,33.08531564,-117.0293238,28.66805641,49989
92009,33.09430069,-117.2457801,29.56285297,44739
