lat,lon,weight,offense
32.75603302,-117.0928867,9.0,Aggravated Assault
32.7138138,-117.0919079,4.0,Motor Vehicle Theft
32.55672211,-117.0406155,9.0,Aggravated Assault
32.71266762,-117.1538318,9.0,Aggravated Assault
32.55148095,-116.9374884,4.0,Motor Vehicle Theft
32.74683486,-117.1972947,4.0,Motor Vehicle Theft
32.58388424,-117.086699,4.0,Motor Vehicle Theft
32.68978621,-117.1081003,9.0,Aggravated Assault
32.72782853,-117.2510266,3.0,Destruction/Damage/Vandalism of Property
32.57315685,-117.048214,4.0,Motor Vehicle Theft
32.96008021,-117.1066405,9.0,Robbery
32.71581378,-117.1494201,9.0,Robbery
32.70360268,-117.1393821,3.0,Weapon Law Violations
32.57954885,-117.0480727,3.0,Destruction/Damage/Vandalism of Property
32.7799368,-117.2065519,9.0,Aggravated Assault
32.68133842,-117.1091489,6.0,Arson
32.68133842,-117.1091489,3.0,Weapon Law Violations
32.80031408,-117.1552474,4.0,Motor Vehicle Theft
32.83593154,-117.1722871,4.0,Motor Vehicle Theft
32.56059925,-116.9798521,4.0,Motor Vehicle Theft
32.72341367,-117.0541464,4.0,Motor Vehicle Theft
32.74850391,-117.1300766,3.0,Shoplifting
32.54527325,-117.0306241,3.0,Shoplifting
32.71995612,-117.160126,9.0,Robbery
32.82095802,-117.174035,9.0,Aggravated Assault
32.5837038,-117.0970614,4.0,Motor Vehicle Theft
32.76239733,-117.2177101,4.0,Motor Vehicle Theft
32.56597113,-116.9645418,4.0,Motor Vehicle Theft
32.7571494,-117.1002651,9.0,Aggravated Assault
32.82095802,-117.174035,3.0,Drug/narcotic Violations
32.68179477,-117.0530526,3.0,All Other Offenses
32.74702886,-117.1583048,3.0,Simple Assault
32.79662805,-117.2554379,3.0,Disorderly Conduct
32.70736524,-117.1602308,9.0,Robbery
32.7937148,-117.2546872,9.0,Aggravated Assault
32.73166137,-117.2347566,3.0,Disorderly Conduct
32.69417824,-117.1788451,3.0,Simple Assault
32.69417824,-117.1788451,3.0,Disorderly Conduct
32.71169224,-117.1603591,3.0,Intimidation
32.71395634,-117.1457521,9.0,Aggravated Assault
32.72941324,-117.1710196,9.0,Aggravated Assault
32.90542974,-117.117165,3.0,Simple Assault
32.90542974,-117.117165,3.0,Destruction/Damage/Vandalism of Property
32.72624178,-117.2278763,3.0,Disorderly Conduct
32.90542974,-117.117165,9.0,Aggravated Assault
32.71362857,-117.1592421,3.0,Disorderly Conduct
32.79474136,-117.2548591,3.0,All Other Offenses
32.71262331,-117.1602029,3.0,Disorderly Conduct
32.75512554,-117.0996869,9.0,Aggravated Assault
32.91673455,-117.1798351,3.0,Kidnapping/Abduction
32.91673455,-117.1798351,3.0,Simple Assault
32.91673455,-117.1798351,3.0,All Other Offenses
32.54546795,-117.0386723,3.0,Burglary/Breaking & Entering
32.71169224,-117.1603591,3.0,Disorderly Conduct
32.97668996,-117.1303327,3.0,Driving Under the Influence
32.75721267,-117.211778,3.0,Theft From Motor Vehicle
32.70743166,-117.032798,3.0,Theft From Motor Vehicle
32.70743166,-117.032798,3.0,Destruction/Damage/Vandalism of Property
32.72089342,-117.1710255,3.0,Simple Assault
32.71369346,-117.1574868,3.0,All Other Offenses
32.708422,-117.1495009,3.0,Disorderly Conduct
32.70946947,-117.1484849,3.0,Drug Equipment Violations
32.70946947,-117.1484849,3.0,All Other Offenses
32.71413124,-117.1559176,3.0,Simple Assault
32.90297971,-117.1383107,3.0,All Other Offenses
32.7198839,-117.1655981,3.0,All Other Offenses
32.71153175,-117.1494575,3.0,Theft From Motor Vehicle
32.71153175,-117.1494575,3.0,Drug/narcotic Violations
32.69687744,-117.0979946,3.0,Simple Assault
32.79784317,-117.2499613,3.0,Simple Assault
32.77016552,-117.2453962,3.0,All Other Offenses
32.75320642,-117.097674,3.0,All Other Offenses
32.58234425,-117.1182751,3.0,Drug/narcotic Violations
32.58234425,-117.1182751,3.0,Drug Equipment Violations
32.57641625,-117.0841652,9.0,Robbery
32.74357173,-117.205032,3.0,Theft From Motor Vehicle
32.75474676,-117.0582812,3.0,Drug/narcotic Violations
32.75474676,-117.0582812,3.0,Weapon Law Violations
32.75474676,-117.0582812,3.0,All Other Offenses
32.71575257,-117.1611494,3.0,Simple Assault
32.70836183,-117.1503322,3.0,All Other Offenses
32.71787515,-117.155552,3.0,Theft From Motor Vehicle
32.73146699,-117.1562899,3.0,All Other Offenses
32.74776847,-117.0966688,3.0,Identity Theft
32.75093937,-117.2041156,4.0,Motor Vehicle Theft
32.75093937,-117.2041156,3.0,Identity Theft
32.75093937,-117.2041156,3.0,Stolen Property Offenses
32.75093937,-117.2041156,3.0,Drug/narcotic Violations
32.75093937,-117.2041156,3.0,Drug Equipment Violations
32.74967109,-117.1009447,3.0,All Other Offenses
32.77264046,-117.2027953,3.0,Simple Assault
32.71836124,-117.1587166,9.0,Aggravated Assault
32.8080626,-117.262124,3.0,All Other Offenses
32.6982891,-117.1472988,3.0,All Other Offenses
32.58469683,-117.0864083,3.0,All Other Offenses
32.8809176,-117.2013698,3.0,Burglary/Breaking & Entering
32.74933277,-117.2180023,3.0,Drug/narcotic Violations
32.71367767,-117.1611408,3.0,Theft From Motor Vehicle
32.71024945,-117.063911,3.0,Intimidation
32.76874855,-117.0470151,3.0,Weapon Law Violations
32.76874855,-117.0470151,3.0,All Other Offenses
32.71836124,-117.1587166,3.0,Simple Assault
32.73656287,-117.0813712,3.0,Theft From Motor Vehicle
32.70628384,-117.1518819,3.0,Destruction/Damage/Vandalism of Property
32.70628384,-117.1518819,3.0,All Other Offenses
32.71685985,-117.0843211,3.0,Destruction/Damage/Vandalism of Property
32.7498708,-117.2330883,3.0,Impersonation
32.72291792,-117.1593946,3.0,All Other Offenses
32.71157499,-117.1547216,3.0,Drug/narcotic Violations
32.71157499,-117.1547216,3.0,Drug Equipment Violations
32.71157499,-117.1547216,3.0,All Other Offenses
32.78976722,-116.9732581,3.0,Intimidation
32.76333454,-117.1108846,3.0,Simple Assault
32.71792217,-117.1474941,3.0,All Other Offenses
32.78976722,-116.9732581,3.0,Destruction/Damage/Vandalism of Property
32.7512746,-117.2361605,9.0,Aggravated Assault
32.752897,-117.2075251,3.0,Impersonation
32.583406,-117.0138906,3.0,Intimidation
32.67572824,-117.0721411,3.0,Stolen Property Offenses
32.71050765,-117.1538094,3.0,Drug/narcotic Violations
32.71142638,-117.0850746,3.0,Shoplifting
32.71142638,-117.0850746,3.0,All Other Offenses
32.55485302,-116.9700041,3.0,Theft From Motor Vehicle
32.55485302,-116.9700041,3.0,Destruction/Damage/Vandalism of Property
32.76859499,-117.0536288,3.0,All Other Offenses
32.70650377,-117.1251729,3.0,Destruction/Damage/Vandalism of Property
32.73041213,-117.1594666,3.0,Theft From Motor Vehicle
32.74850391,-117.1300766,3.0,All Other Offenses
32.76507599,-117.0607221,3.0,Intimidation
32.84226298,-117.2804753,3.0,Theft of Motor Vehicle Parts/Accessories
32.74377441,-117.2348345,3.0,Intimidation
33.02033764,-117.0748025,3.0,Shoplifting
32.70861812,-117.0849971,3.0,Driving Under the Influence
32.70861812,-117.0849971,3.0,All Other Offenses
32.98169609,-117.077052,3.0,All Other Larceny
32.98169609,-117.077052,3.0,All Other Offenses
32.74992166,-117.1616202,3.0,Simple Assault
32.75514835,-117.1002977,3.0,All Other Larceny
32.7104505,-117.1537411,3.0,Drug/narcotic Violations
32.7104505,-117.1537411,3.0,Drug Equipment Violations
32.71504785,-117.0833068,3.0,Drug/narcotic Violations
