incident_date,offense,lat,lon,zip_code,city,state,tier,weight,index_right,zip_code
2025-05-21 20:05:00,Aggravated Assault,0.0,0.0,91901,SAN DIEGO,CA,TIER2,9.0,,
2026-01-12 09:47:43,Motor Vehicle Theft,1853577.18881606,6302015.40176494,92105,SAN DIEGO,CA,TIER4,4.0,,
2026-02-26 07:00:00,Motor Vehicle Theft,1781718.09074542,6316670.76141161,92173,SAN DIEGO,CA,TIER4,4.0,,
2025-04-03 00:48:00,Aggravated Assault,1855907.72120089,6302526.58864041,92105,SAN DIEGO,CA,TIER2,9.0,,
2025-03-26 04:51:00,Motor Vehicle Theft,1781132.88817443,6349811.28758948,92154,SAN DIEGO,CA,TIER4,4.0,,
2025-03-22 15:56:00,Motor Vehicle Theft,1852836.70561768,6270397.46768229,92110,SAN DIEGO,CA,TIER4,4.0,,
2025-10-01 13:00:00,Theft From Building,0.0,0.0,90000,SAN DIEGO,CA,TIER4,4.0,,
2025-11-12 17:00:00,Motor Vehicle Theft,1789262.52271705,6315751.26621066,92154,SAN DIEGO,CA,TIER4,4.0,,
2025-09-18 20:39:06,Robbery,1930181.57948722,6298908.14905682,92128,SAN DIEGO,CA,TIER2,9.0,,
2025-11-13 19:10:00,Robbery,1841419.84783032,6285019.94472141,92101,SAN DIEGO,CA,TIER2,9.0,,
2025-09-24 04:57:22,Arson,1828772.05877592,6297303.04882521,91950,SAN DIEGO,CA,TIER3,6.0,,
2025-06-10 22:30:49,Motor Vehicle Theft,1872179.34116498,6283494.53409132,92123,SAN DIEGO,CA,TIER4,4.0,,
2025-11-02 04:00:00,Motor Vehicle Theft,0.0,0.0,91950,SAN DIEGO,CA,TIER4,4.0,,
2025-03-13 00:44:35,Burglary/Breaking & Entering,1871367.29744673,6252226.210066,92109,SAN DIEGO,CA,TIER3,6.0,,
2025-04-29 21:50:00,Aggravated Assault,1900227.05320108,6264379.73482084,92122,SAN DIEGO,CA,TIER2,9.0,,
2025-03-21 17:30:00,Motor Vehicle Theft,1834698.07603111,6301414.01705696,92113,SAN DIEGO,CA,TIER4,4.0,,
2025-10-04 23:25:00,Robbery,1857009.85101662,6303762.90075488,92115,SAN DIEGO,CA,TIER2,9.0,,
2025-04-26 04:40:00,Motor Vehicle Theft,1791380.12910462,6312389.00075532,92154,SAN DIEGO,CA,TIER4,4.0,,
2025-03-28 23:40:00,Motor Vehicle Theft,1785391.10082065,6332577.47167677,92154,SAN DIEGO,CA,TIER4,4.0,,
2025-03-25 14:23:00,All Other Larceny,1855358.63113497,6266075.95626815,92107,SAN DIEGO,CA,TIER4,4.0,,
2025-12-19 00:00:00,Burglary/Breaking & Entering,1846753.12164452,6260036.38007739,92106,SAN DIEGO,CA,TIER3,6.0,,
2025-08-05 20:24:15,Burglary/Breaking & Entering,1859146.34443714,6271031.29579989,92110,SAN DIEGO,CA,TIER3,6.0,,
2025-05-28 04:00:00,Motor Vehicle Theft,1862248.29755001,6290178.21024414,92108,SAN DIEGO,CA,TIER4,4.0,,
2025-04-08 18:55:00,Aggravated Assault,1913994.7808123,6291321.37855563,92126,SAN DIEGO,CA,TIER2,9.0,,
2025-03-12 19:06:00,Motor Vehicle Theft,1779353.60628764,6320895.3471946,92173,SAN DIEGO,CA,TIER4,4.0,,
2025-03-11 09:14:00,Forcible Rape,1841801.92097474,6283698.87027492,92101,SAN DIEGO,CA,TIER1,12.0,,
2025-03-11 10:00:00,Aggravated Assault,1855071.03259743,6267272.20588459,92110,SAN DIEGO,CA,TIER2,9.0,,
2025-03-11 09:54:43,Burglary/Breaking & Entering,1897146.91580638,6262380.79441046,92122,SAN DIEGO,CA,TIER3,6.0,,
2025-03-11 10:43:58,Burglary/Breaking & Entering,1909878.04126046,6297908.85761562,92131,SAN DIEGO,CA,TIER3,6.0,,
2025-03-11 09:48:00,Theft From Motor Vehicle,1785879.97166138,6325976.15724517,92154,SAN DIEGO,CA,TIER4,4.0,,
2025-03-11 15:30:45,Robbery,1843328.78106158,6303399.01072472,92102,SAN DIEGO,CA,TIER2,9.0,,
2025-03-11 18:00:00,Aggravated Assault,1853633.25188265,6298930.46723,92105,SAN DIEGO,CA,TIER2,9.0,,
2025-03-11 18:22:00,Aggravated Assault,1852242.17365044,6254919.72360428,92107,SAN DIEGO,CA,TIER2,9.0,,
2025-03-11 18:22:00,Aggravated Assault,1852242.17365044,6254919.72360428,92107,SAN DIEGO,CA,TIER2,9.0,,
2025-03-11 18:09:00,All Other Larceny,1875548.06349003,6297809.4922217,92124,SAN DIEGO,CA,TIER4,4.0,,
2025-03-11 17:07:00,All Other Larceny,1836310.13796505,6300264.77684098,92113,SAN DIEGO,CA,TIER4,4.0,,
2025-03-11 18:30:24,Robbery,1836190.59292338,6321994.89257744,92114,SAN DIEGO,CA,TIER2,9.0,,
2025-03-11 13:12:00,All Other Larceny,1862180.83313905,6253359.08078137,92109,SAN DIEGO,CA,TIER4,4.0,,
2025-03-11 19:00:00,All Other Larceny,0.0,0.0,92102,SAN DIEGO,CA,TIER4,4.0,,
2025-03-12 00:50:00,All Other Larceny,1885050.10650454,6271906.31738365,92117,SAN DIEGO,CA,TIER4,4.0,,
2025-03-11 15:00:00,Theft From Motor Vehicle,1784767.7400163,6311315.28661411,92173,SAN DIEGO,CA,TIER4,4.0,,
2025-03-11 15:00:00,Motor Vehicle Theft,1784767.7400163,6311315.28661411,92173,SAN DIEGO,CA,TIER4,4.0,,
2025-03-11 22:40:00,Theft From Motor Vehicle,1860094.43710376,6285451.49262559,92108,SAN DIEGO,CA,TIER4,4.0,,
2025-03-11 23:20:38,Motor Vehicle Theft,1791078.40823866,6342215.80169513,92154,SAN DIEGO,CA,TIER4,4.0,,
2025-03-12 04:35:00,Robbery,1837980.26991145,6283693.51083843,92101,SAN DIEGO,CA,TIER2,9.0,,
2025-03-12 03:10:00,Identity Theft,1884568.80284364,6277958.00523982,92117,SAN DIEGO,CA,TIER4,4.0,,
